timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2021-01-02T00:00:00.000Z";"2021-01-02T23:59:59.999Z";"2021-01-02T06:14:07.000Z";"2021-01-02T00:31:07.000Z";"2781";0.3986411;0.46071355;0.38509082;0.40809098;417148719.46;488214115.65193415;"2021-01-02T23:59:59.999Z"
"2021-01-01T00:00:00.000Z";"2021-01-01T23:59:59.999Z";"2021-01-01T14:46:08.000Z";"2021-01-01T00:35:08.000Z";"2781";0.33420665;0.43128567;0.3323871;0.39812911;341885747.45;475506413.99473405;"2021-01-01T23:59:59.999Z"
"2020-12-31T00:00:00.000Z";"2020-12-31T23:59:59.999Z";"2020-12-31T00:38:08.000Z";"2020-12-31T13:14:07.000Z";"2781";0.33554321;0.33615689;0.31922746;0.33403989;63753450.28;398296169.58195823;"2020-12-31T23:59:59.999Z"
"2020-12-30T00:00:00.000Z";"2020-12-30T23:59:59.999Z";"2020-12-30T01:51:08.000Z";"2020-12-30T12:17:08.000Z";"2781";0.3459735;0.35848453;0.32818717;0.33554274;76007918.93;399527468.57297736;"2020-12-30T23:59:59.999Z"
"2020-12-29T00:00:00.000Z";"2020-12-29T23:59:59.999Z";"2020-12-29T00:07:07.000Z";"2020-12-29T16:32:08.000Z";"2781";0.35652865;0.36083076;0.32089406;0.3459178;114394972.92;411303174.1830739;"2020-12-29T23:59:59.999Z"
"2020-12-28T00:00:00.000Z";"2020-12-28T23:59:59.999Z";"2020-12-28T23:58:08.000Z";"2020-12-28T00:05:08.000Z";"2781";0.31917023;0.356278;0.31695313;0.35623898;77096645.66;421590539.1303604;"2020-12-28T23:59:59.999Z"
"2020-12-27T00:00:00.000Z";"2020-12-27T23:59:59.999Z";"2020-12-27T16:11:08.000Z";"2020-12-27T11:40:12.000Z";"2781";0.30930408;0.33508203;0.30215614;0.31912327;92973623.06;377131299.76897764;"2020-12-27T23:59:59.999Z"
"2020-12-26T00:00:00.000Z";"2020-12-26T23:59:59.999Z";"2020-12-26T01:16:08.000Z";"2020-12-26T11:20:10.000Z";"2781";0.3096714;0.32120104;0.30154767;0.30932047;61623354.68;365030730.8763015;"2020-12-26T23:59:59.999Z"
"2020-12-25T00:00:00.000Z";"2020-12-25T23:59:59.999Z";"2020-12-25T11:37:08.000Z";"2020-12-25T17:06:08.000Z";"2781";0.31379693;0.3287925;0.3044592;0.30974376;70992652.07;365011423.87507945;"2020-12-25T23:59:59.999Z"
"2020-12-24T00:00:00.000Z";"2020-12-24T23:59:59.999Z";"2020-12-24T23:59:08.000Z";"2020-12-24T00:46:07.000Z";"2781";0.28955278;0.31390628;0.28247023;0.31390628;70852889.47;369393255.491952;"2020-12-24T23:59:59.999Z"
"2020-12-23T00:00:00.000Z";"2020-12-23T23:59:59.999Z";"2020-12-23T08:22:07.000Z";"2020-12-23T22:25:12.000Z";"2781";0.33676487;0.35067943;0.26963043;0.28888604;113589407.58;339466637.63687134;"2020-12-23T23:59:59.999Z"
"2020-12-22T00:00:00.000Z";"2020-12-22T23:59:59.999Z";"2020-12-22T15:52:08.000Z";"2020-12-22T08:31:07.000Z";"2781";0.32668189;0.34749475;0.31853389;0.33688658;90816048.08;395307490.04272544;"2020-12-22T23:59:59.999Z"
"2020-12-21T00:00:00.000Z";"2020-12-21T23:59:59.999Z";"2020-12-21T04:07:07.000Z";"2020-12-21T12:13:07.000Z";"2781";0.33937841;0.36505874;0.31460014;0.32733072;122394591.13;383358582.3780114;"2020-12-21T23:59:59.999Z"
"2020-12-20T00:00:00.000Z";"2020-12-20T23:59:59.999Z";"2020-12-20T09:01:07.000Z";"2020-12-20T22:11:08.000Z";"2781";0.35652378;0.35720702;0.33065161;0.33900531;95694398.24;396471727.8087937;"2020-12-20T23:59:59.999Z"
"2020-12-19T00:00:00.000Z";"2020-12-19T23:59:59.999Z";"2020-12-19T14:01:08.000Z";"2020-12-19T00:46:08.000Z";"2781";0.35379448;0.38404019;0.35095002;0.3566269;130789717.49;423249794.3236319;"2020-12-19T23:59:59.999Z"
"2020-12-18T00:00:00.000Z";"2020-12-18T23:59:59.999Z";"2020-12-18T18:52:07.000Z";"2020-12-18T16:04:07.000Z";"2781";0.33217084;0.36264854;0.31747551;0.35386345;119453445.43;418062220.2017078;"2020-12-18T23:59:59.999Z"
"2020-12-17T00:00:00.000Z";"2020-12-17T23:59:59.999Z";"2020-12-17T17:13:07.000Z";"2020-12-17T09:48:07.000Z";"2781";0.34000772;0.35729627;0.32574237;0.33212649;123624266.24;391834085.1789319;"2020-12-17T23:59:59.999Z"
"2020-12-16T00:00:00.000Z";"2020-12-16T23:59:59.999Z";"2020-12-16T21:19:07.000Z";"2020-12-16T01:44:07.000Z";"2781";0.32548105;0.34400501;0.31930524;0.3399547;106922371.56;400509207.4399508;"2020-12-16T23:59:59.999Z"
"2020-12-15T00:00:00.000Z";"2020-12-15T23:59:59.999Z";"2020-12-15T18:11:08.000Z";"2020-12-15T00:00:08.000Z";"2781";0.31278731;0.33952538;0.31278731;0.32547567;77662360.31;382912366.10921586;"2020-12-15T23:59:59.999Z"
